season,team,rank_change,fpi_change,record_before,fpi_before,rank_before,trend_before,wayback_timestamp_before,conference_before,record_after,fpi_after,rank_after,trend_after,wayback_timestamp_after,conference_after
2022,Vanderbilt Commodores,-15,-2.7,1-0,0.5,64,0,20220901143719,SEC,2-0,-2.2,79,0,20220906040030,SEC
2022,Auburn Tigers,-16,-3.3999999999999986,0-0,13.7,11,0,20220901143719,SEC,1-0,10.3,27,0,20220906040030,SEC
2023,Kent State Golden Flashes,-16,-5.700000000000001,0-0,-9.7,113,0,20230830055751,MAC,0-1,-15.4,129,16,20230905092550,MAC
2022,North Texas Mean Green,-16,-5.2,1-0,-2.5,83,0,20220901143719,C-USA,1-1,-7.7,99,0,20220906040030,C-USA
2022,San Diego State Aztecs,-16,-4.8,0-0,-2.3,82,0,20220901143719,Mountain West,0-1,-7.1,98,0,20220906040030,Mountain West
2022,South Florida Bulls,-16,-4.6000000000000005,0-0,-4.3,89,0,20220901143719,American,0-1,-8.9,105,0,20220906040030,American
2023,Virginia Cavaliers,-16,-4,0-0,-3.3,76,1,20230830055751,ACC,0-1,-7.3,92,15,20230905092550,ACC
2022,Wake Forest Demon Deacons,-16,-3.2,0-0,7.5,34,0,20220901143719,ACC,1-0,4.3,50,0,20220906040030,ACC
2021,Western Michigan Broncos,-16,-3.0999999999999996,0-0,-3.5,80,1,20210904141614,MAC,0-1,-6.6,96,15,20210908031230,MAC
2023,Boise State Broncos,-17,-4.1,0-0,1.6,56,0,20230830055751,Mountain West,0-1,-2.5,73,17,20230905092550,Mountain West
2021,Stanford Cardinal,-17,-3.7,0-0,2.9,56,2,20210904141614,Pac-12,0-1,-0.8,73,19,20210908031230,Pac-12
2023,TCU Horned Frogs,-17,-4.5,0-0,11.6,19,0,20230830055751,Big 12,0-1,7.1,36,17,20230905092550,Big 12
2021,Mississippi State Bulldogs,-18,-4.6000000000000005,0-0,8.9,25,3,20210904141614,SEC,1-0,4.3,43,21,20210908031230,SEC
2021,Indiana Hoosiers,-19,-4.9,0-0,8.9,26,3,20210904141614,Big Ten,0-1,4,45,22,20210908031230,Big Ten
2022,Iowa Hawkeyes,-19,-4.3,0-0,7,36,0,20220901143719,Big Ten,1-0,2.7,55,0,20220906040030,Big Ten
2021,Georgia Southern Eagles,-20,-6.1000000000000005,0-0,-5.2,89,0,20210904141614,Sun Belt,1-0,-11.3,109,20,20210908031230,Sun Belt
2023,Arizona State Sun Devils,-21,-5.5,0-0,-1.2,68,0,20230830055751,Pac-12,1-0,-6.7,89,21,20230905092550,Pac-12
2023,Baylor Bears,-21,-5.8999999999999995,0-0,9.7,27,0,20230830055751,Big 12,0-1,3.8,48,21,20230905092550,Big 12
2023,Eastern Michigan Eagles,-21,-6.800000000000001,0-0,-9.3,110,1,20230830055751,MAC,1-0,-16.1,131,20,20230905092550,MAC
2022,Middle Tennessee Blue Raiders,-21,-7.699999999999999,0-0,-3.5,88,0,20220901143719,C-USA,0-1,-11.2,109,0,20220906040030,C-USA
2023,North Texas Mean Green,-21,-6.299999999999999,0-0,-8.4,103,0,20230830055751,American,0-1,-14.7,124,21,20230905092550,American
2023,Ohio Bobcats,-21,-4.799999999999999,0-1,-5.9,91,3,20230830055751,MAC,1-1,-10.7,112,24,20230905092550,MAC
2022,Oregon Ducks,-22,-4.6,0-0,10.6,22,0,20220901143719,Pac-12,0-1,6,44,0,20220906040030,Pac-12
2021,Georgia State Panthers,-23,-7.000000000000001,0-0,-3.8,82,2,20210904141614,Sun Belt,0-1,-10.8,105,21,20210908031230,Sun Belt
2022,Louisville Cardinals,-24,-5.4,0-0,7.2,35,0,20220901143719,ACC,0-1,1.8,59,0,20220906040030,ACC
2021,Washington Huskies,-25,-5.6,0-0,9.1,24,3,20210904141614,Pac-12,0-1,3.5,49,28,20210908031230,Pac-12
2023,Arkansas State Red Wolves,-27,-7.199999999999999,0-0,-7.5,98,1,20230830055751,Sun Belt,0-1,-14.7,125,28,20230905092550,Sun Belt
2021,Oklahoma State Cowboys,-35,-7.5,0-0,10.6,19,1,20210904141614,Big 12,1-0,3.1,54,36,20210908031230,Big 12
